model-1579134871,1579134877.717,0.55,0.24,0.57,0.25
model-1579134871,1579134877.823,0.56,0.24,0.62,0.25
model-1579134871,1579134877.917,0.54,0.24,0.51,0.24
model-1579134871,1579134878.011,0.59,0.23,0.48,0.26
model-1579134871,1579134878.105,0.53,0.24,0.49,0.26
model-1579134871,1579134878.181,0.5,0.25,0.57,0.24
model-1579134871,1579134878.274,0.58,0.23,0.59,0.25
model-1579134871,1579134878.349,0.6,0.23,0.55,0.24
model-1579134871,1579134878.421,0.52,0.25,0.55,0.26
model-1579134871,1579134878.493,0.52,0.25,0.48,0.26
model-1579134871,1579134878.568,0.55,0.24,0.56,0.25
model-1579134871,1579134878.656,0.47,0.26,0.57,0.24
model-1579134871,1579134878.744,0.48,0.24,0.62,0.24
model-1579134871,1579134878.819,0.62,0.24,0.67,0.24
model-1579134871,1579134878.891,0.68,0.24,0.48,0.26
model-1579134871,1579134878.968,0.49,0.25,0.5,0.25
model-1579134871,1579134879.044,0.6,0.24,0.54,0.24
model-1579134871,1579134879.119,0.51,0.25,0.55,0.25
model-1579134871,1579134879.19,0.63,0.23,0.58,0.24
model-1579134871,1579134879.267,0.55,0.24,0.61,0.24
model-1579134871,1579134879.343,0.49,0.25,0.59,0.23
model-1579134871,1579134879.419,0.66,0.24,0.47,0.26
model-1579134871,1579134879.49,0.58,0.24,0.53,0.24
model-1579134871,1579134879.561,0.57,0.25,0.56,0.24
model-1579134871,1579134879.638,0.46,0.24,0.55,0.26
model-1579134871,1579134879.715,0.5,0.25,0.51,0.26
model-1579134871,1579134879.787,0.6,0.24,0.53,0.25
model-1579134871,1579134879.862,0.57,0.24,0.55,0.24
model-1579134871,1579134879.938,0.66,0.23,0.59,0.24
model-1579134871,1579134880.013,0.61,0.23,0.59,0.24
model-1579134871,1579134880.088,0.54,0.24,0.65,0.22
model-1579134871,1579134880.16,0.55,0.25,0.61,0.24
model-1579134871,1579134880.237,0.54,0.25,0.53,0.24
model-1579134871,1579134880.314,0.65,0.23,0.65,0.23
model-1579134871,1579134880.389,0.63,0.23,0.56,0.25
model-1579134871,1579134880.467,0.54,0.24,0.63,0.23
model-1579134871,1579134880.555,0.63,0.24,0.69,0.22
model-1579134871,1579134880.648,0.59,0.24,0.61,0.24
model-1579134871,1579134880.72,0.62,0.23,0.66,0.22
model-1579134871,1579134880.792,0.58,0.25,0.65,0.22
model-1579134871,1579134880.864,0.6,0.24,0.59,0.23
model-1579134871,1579134880.939,0.61,0.24,0.7,0.22
model-1579134871,1579134881.014,0.57,0.24,0.63,0.23
model-1579134871,1579134881.088,0.66,0.22,0.63,0.22
model-1579134871,1579134881.158,0.6,0.23,0.61,0.24
model-1579134871,1579134881.234,0.57,0.23,0.59,0.24
model-1579134871,1579134881.307,0.66,0.21,0.54,0.25
model-1579134871,1579134881.384,0.56,0.24,0.63,0.22
model-1579134871,1579134881.475,0.65,0.23,0.66,0.21
model-1579134871,1579134881.55,0.55,0.25,0.68,0.21
model-1579134871,1579134881.622,0.66,0.23,0.68,0.22
model-1579134871,1579134881.693,0.64,0.22,0.59,0.24
model-1579134871,1579134881.766,0.61,0.23,0.69,0.2
model-1579134871,1579134881.842,0.78,0.19,0.57,0.23
model-1579134871,1579134881.917,0.61,0.23,0.61,0.23
model-1579134871,1579134881.998,0.55,0.25,0.59,0.25
model-1579134871,1579134882.077,0.61,0.24,0.54,0.26
model-1579134871,1579134882.151,0.48,0.26,0.56,0.26
model-1579134871,1579134882.244,0.61,0.24,0.71,0.21
model-1579134871,1579134882.318,0.62,0.23,0.67,0.23
model-1579134871,1579134882.39,0.6,0.24,0.63,0.23
model-1579134871,1579134882.488,0.59,0.25,0.65,0.23
model-1579134871,1579134882.584,0.62,0.22,0.71,0.22
model-1579134871,1579134882.656,0.58,0.23,0.63,0.23
model-1579134871,1579134882.726,0.59,0.23,0.6,0.23
model-1579134871,1579134882.81,0.68,0.23,0.64,0.22
model-1579134871,1579134882.903,0.66,0.23,0.6,0.22
model-1579134871,1579134882.995,0.69,0.21,0.6,0.24
model-1579134871,1579134883.112,0.56,0.24,0.53,0.25
model-1579134871,1579134883.225,0.62,0.23,0.65,0.22
model-1579134871,1579134883.339,0.6,0.24,0.71,0.21
model-1579134871,1579134883.429,0.63,0.22,0.55,0.25
model-1579134871,1579134883.504,0.64,0.23,0.7,0.22
model-1579134871,1579134883.58,0.66,0.23,0.57,0.25
model-1579134871,1579134883.674,0.55,0.26,0.71,0.2
model-1579134871,1579134883.751,0.61,0.22,0.61,0.24
model-1579134871,1579134883.823,0.6,0.24,0.63,0.24
model-1579134871,1579134883.894,0.57,0.24,0.63,0.22
model-1579134871,1579134883.97,0.54,0.25,0.53,0.25
model-1579134871,1579134884.045,0.6,0.24,0.58,0.24
model-1579134871,1579134884.118,0.64,0.22,0.61,0.23
model-1579134871,1579134884.231,0.6,0.22,0.64,0.21
model-1579134871,1579134884.325,0.57,0.24,0.55,0.24
model-1579134871,1579134884.4,0.55,0.26,0.6,0.24
model-1579134871,1579134884.489,0.62,0.23,0.6,0.23
model-1579134871,1579134884.6,0.53,0.25,0.63,0.22
model-1579134871,1579134884.685,0.63,0.24,0.56,0.24
model-1579134871,1579134884.779,0.63,0.22,0.6,0.25
model-1579134871,1579134884.873,0.53,0.25,0.52,0.25
